Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
Czy jest grafika,Obrazek z tekstu,Ile jest obrazków,Czy s? obrazki tylko online?,Kod zapisu obrazków offline,LIKE,LOVE,HUG,HAHA,WOW,CRY,WRR,Liczba komentarzy
1-0,1-0,liczba,1-0,LP_Koder,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba
1,0,6,1,224_G,28,7,,,,,,13
1,0,19,1,225_G,8,1,,,,,,
1,0,23,0,226_G,17,,,,,,,18
1,0,1,0,227_G,,,,,,,,8
1,0,1,0,228_G,3,,,,,,,
1,0,3,0,229_G,42,4,,,,,,7
1,0,4,0,230_G,4,,,,,,,
0,0,0,0,NA,3,,,,,,,24
0,0,0,0,NA,2,,,,,,,4
1,0,51,1,233_G,27,6,,,,,,4
0,0,0,0,NA,4,,,,,,,30
1,0,15,1,NA,20,6,,,,,,
1,0,5,0,236_G,11,2,,,,,,25
1,0,1,1,FB Video,24,,1,,,,,9
0,0,0,0,NA,2,,,,,,,19
1,0,11,1,239_G,,,,,,,,
1,0,1,0,240_G,24,6,,,,,,10
0,0,0,0,NA,1,,,,,,,21
1,0,2,1,242_M,90,5,,1,,,,
1,0,1,0,243_M,58,24,,,1,,,5
0,0,0,0,NA,1,,1,,1,,,
1,0,1,1,NA,7,1,,,1,,,1
1,0,1,1,NA,8,4,,,,,,1
1,0,9,0,247_M,29,,,,,,,1
1,0,5,0,248_M,5,1,,,,,,
1,0,1,0,249_M,71,,,,,,,33
1,0,1,0,250_M,,,,,,,,
1,0,1,0,251_M,21,,,,,,,1
1,0,4,1,252_M,32,,,,,,,1
0,0,0,0,NA,12,,,,,,,121
0,0,0,0,NA,8,,1,,,,,16
0,0,0,0,NA,11,,,,,,,1
1,0,1,1,NA,1,,,,,,,
1,1,1,1,NA,6,,,,,,,62
0,0,0,0,NA,,,,,,,,8
1,0,1,0,259_M,1,,,,,,,3
1,0,1,0,260_M,7,,,,,,,7
0,0,0,0,NA,,,,,,,,3
1,0,5,0,262_M,20,,,,,,,
1,0,1,1,NA,34,,,,,,,9
1,0,1,0,264_M,23,,,,,,,2
1,0,5,1,NA,4,,,,,,,
0,0,0,0,NA,556,151,9,3,,,,238
