,Z9,Z10,Z11,Z12,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
95,1,0,0.025641,0,0.013125,0.0,0.0,0.0,0.0,0.0,0.0,1
96,1,0,0.012821,0,0.01375,0.0,0.0,0.0,0.0,0.0,0.0,0
97,1,0,0.012821,0,0.030625,0.0,0.0,0.0,0.0,0.0,0.0,1
98,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
99,1,0,0.012821,0,0.004375,0.0,0.0,0.0,0.0,0.0,0.0,0
100,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
101,1,0,0.012821,1,0.0225,0.002119,0.002155,0.493827,0.0,0.0,1.0,1
102,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
103,1,0,0.025641,1,0.00125,0.002119,0.0,0.0,0.0,0.0,0.0,0
104,1,0,0.051282,0,0.005625,0.002119,0.0,0.0,0.0,0.0,0.0,1
105,1,0,0.089744,1,0.00375,0.002119,0.0,0.0,0.0,0.0,0.0,0
106,1,0,0.012821,0,0.00125,0.002119,0.0,0.0,0.0,0.0,0.0,0
107,1,0,0.012821,1,0.0025,0.002119,0.0,0.0,0.0,0.0,0.0,0
108,1,1,0.012821,1,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,1
109,1,0,0.038462,1,0.011875,0.0,0.0,0.0,0.0,0.0,0.0,0
110,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
111,1,0,0.012821,0,0.0125,0.004237,0.0,0.0,0.0,0.0,0.0,0
112,1,0,0.012821,0,0.005625,0.0,0.0,0.0,0.0,0.0,0.0,0
113,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
114,0,0,0.0,0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,1
115,1,0,0.012821,0,0.0375,0.021186,0.0,0.0,0.0,0.0,0.0,0
116,1,0,0.025641,0,0.01,0.0,0.0,0.0,0.010101,0.0,0.0,1
117,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
118,1,0,0.012821,0,0.02125,0.004237,0.0,0.0,0.0,0.0,0.0,0
119,1,0,0.025641,1,0.080625,0.025424,0.0,0.0,0.010101,0.0,0.0,1
120,1,0,0.038462,0,0.004375,0.0,0.0,0.0,0.0,0.0,0.0,0
121,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
122,1,0,0.025641,1,0.00375,0.0,0.0,0.0,0.0,0.0,0.0,0
123,1,0,0.038462,0,0.019375,0.0,0.0,0.0,0.0,0.0,0.0,0
124,1,0,0.012821,0,0.0,0.002119,0.0,0.0,0.0,0.0,0.0,0
